epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,35979.5,0.49159,0.24214,0.79543,1,1,0.995,0.995,0.19809,0.10581,0.7194,0.00245802,0.00245802,0.00245802
72,36483.7,0.49022,0.24089,0.7972,1,1,0.995,0.995,0.19819,0.10547,0.71927,0.00233869,0.00233869,0.00233869
73,36983.8,0.48778,0.23852,0.79595,1,1,0.995,0.995,0.19823,0.10559,0.71918,0.00222224,0.00222224,0.00222224
74,37488.9,0.48834,0.23792,0.7966,1,1,0.995,0.995,0.19803,0.10548,0.71893,0.00210877,0.00210877,0.00210877
75,37997.1,0.48309,0.23567,0.79361,1,1,0.995,0.995,0.19888,0.10594,0.71879,0.0019984,0.0019984,0.0019984
76,38499.9,0.48153,0.23435,0.79454,1,1,0.995,0.995,0.19868,0.10617,0.71866,0.00189124,0.00189124,0.00189124
77,39000,0.47977,0.23337,0.79357,1,1,0.995,0.995,0.1973,0.09867,0.7188,0.0017874,0.0017874,0.0017874
78,39508.9,0.47781,0.23232,0.79277,1,1,0.995,0.995,0.19718,0.09851,0.71868,0.00168697,0.00168697,0.00168697
79,40012.6,0.48112,0.23353,0.79469,1,1,0.995,0.995,0.19733,0.10539,0.71866,0.00159006,0.00159006,0.00159006
80,40515.2,0.47595,0.23,0.79354,1,1,0.995,0.995,0.1965,0.10434,0.71866,0.00149676,0.00149676,0.00149676
81,41015.8,0.47495,0.22899,0.79426,1,1,0.995,0.995,0.19656,0.11099,0.71874,0.00140717,0.00140717,0.00140717
82,41522.6,0.47497,0.22783,0.79595,1,1,0.995,0.995,0.19575,0.10207,0.71843,0.00132137,0.00132137,0.00132137
83,42020.9,0.47337,0.22879,0.794,1,1,0.995,0.995,0.19578,0.10213,0.71836,0.00123944,0.00123944,0.00123944
84,42517.9,0.47093,0.22624,0.79346,1,1,0.995,0.995,0.19258,0.09843,0.71811,0.00116148,0.00116148,0.00116148
85,43020.6,0.46728,0.22359,0.79388,1,1,0.995,0.995,0.19269,0.09832,0.71808,0.00108754,0.00108754,0.00108754
86,43518.5,0.47014,0.22518,0.79418,1,1,0.995,0.995,0.19279,0.09872,0.71793,0.00101772,0.00101772,0.00101772
87,44016.1,0.46992,0.22449,0.79347,1,1,0.995,0.995,0.19378,0.09932,0.71781,0.000952072,0.000952072,0.000952072
88,44516.8,0.46989,0.22436,0.79453,1,1,0.995,0.995,0.19369,0.09884,0.71767,0.000890666,0.000890666,0.000890666
89,45013.9,0.46405,0.22226,0.79008,1,1,0.995,0.995,0.19046,0.09539,0.71759,0.000833562,0.000833562,0.000833562
90,45514.7,0.46236,0.22026,0.79251,1,1,0.995,0.995,0.19192,0.09683,0.71756,0.000780816,0.000780816,0.000780816
91,46014.1,0.4654,0.2189,0.79223,1,1,0.995,0.995,0.19046,0.0948,0.71758,0.000732482,0.000732482,0.000732482
92,46509.7,0.4568,0.2172,0.78957,1,1,0.995,0.995,0.19205,0.09662,0.71744,0.000688605,0.000688605,0.000688605
93,47010.3,0.45854,0.21588,0.79228,1,1,0.995,0.995,0.19133,0.09541,0.71743,0.00064923,0.00064923,0.00064923
94,47506.6,0.45372,0.21484,0.79071,1,1,0.995,0.995,0.19241,0.1033,0.71735,0.000614395,0.000614395,0.000614395
95,48002.1,0.4558,0.21442,0.79147,1,1,0.995,0.995,0.19074,0.10203,0.71734,0.000584136,0.000584136,0.000584136
96,48499.4,0.45289,0.21258,0.79044,1,1,0.995,0.995,0.18952,0.10813,0.71754,0.00055848,0.00055848,0.00055848
97,48991.3,0.4503,0.21231,0.79151,1,1,0.995,0.995,0.18553,0.1043,0.71749,0.000537455,0.000537455,0.000537455
98,49482.4,0.45179,0.21377,0.78929,1,1,0.995,0.995,0.18485,0.10336,0.7175,0.000521081,0.000521081,0.000521081
99,49973.7,0.45073,0.21174,0.78914,1,1,0.995,0.995,0.18554,0.10403,0.71738,0.000509373,0.000509373,0.000509373
100,50464.3,0.45016,0.21197,0.79124,1,1,0.995,0.995,0.18262,0.10033,0.71733,0.000502344,0.000502344,0.000502344
