epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,42273.1,0.53383,0.26192,0.80441,1,1,0.995,0.995,0.11972,0.09704,0.77321,0.001684,0.001684,0.001684
86,42760.8,0.5376,0.26397,0.8054,1,1,0.995,0.995,0.12009,0.10389,0.77303,0.001585,0.001585,0.001585
87,43255,0.53333,0.26191,0.80386,1,1,0.995,0.995,0.11472,0.13681,0.77271,0.001486,0.001486,0.001486
88,43751.4,0.5309,0.25942,0.80488,1,1,0.995,0.995,0.11893,0.10954,0.77248,0.001387,0.001387,0.001387
89,44250.9,0.52582,0.25706,0.79973,1,1,0.995,0.995,0.11734,0.10095,0.7725,0.001288,0.001288,0.001288
90,44752.1,0.52023,0.25346,0.80163,1,1,0.995,0.995,0.11921,0.1002,0.7725,0.001189,0.001189,0.001189
91,45257.4,0.52128,0.25263,0.80169,1,1,0.995,0.995,0.1194,0.09435,0.77241,0.00109,0.00109,0.00109
92,45761.3,0.50991,0.24872,0.79898,1,1,0.995,0.995,0.11942,0.09342,0.77242,0.000991,0.000991,0.000991
93,46265.1,0.50822,0.24542,0.80096,1,1,0.995,0.995,0.11821,0.09136,0.77238,0.000892,0.000892,0.000892
94,46764.1,0.50281,0.24371,0.79921,1,1,0.995,0.995,0.12273,0.09635,0.77246,0.000793,0.000793,0.000793
95,47269.7,0.50195,0.2398,0.7994,1,1,0.995,0.995,0.12385,0.09757,0.77246,0.000694,0.000694,0.000694
96,47777.4,0.49526,0.23803,0.79738,1,1,0.995,0.995,0.12208,0.0962,0.77253,0.000595,0.000595,0.000595
97,48280.4,0.4898,0.23369,0.79838,1,1,0.995,0.995,0.12386,0.09769,0.77257,0.000496,0.000496,0.000496
98,48780,0.48901,0.2335,0.79578,1,1,0.995,0.995,0.11833,0.09244,0.77253,0.000397,0.000397,0.000397
99,49296.8,0.48517,0.23045,0.79515,1,1,0.995,0.995,0.12386,0.09738,0.77253,0.000298,0.000298,0.000298
100,49919.5,0.48148,0.22753,0.79679,1,1,0.995,0.995,0.11799,0.09239,0.77243,0.000199,0.000199,0.000199
